Chris Gayle|Christopher Henry Gayle, OD (born 21 September 1979) is a Jamaican cricketer and a former captain, who plays international cricket for the West Indies.
Virender Sehwag|Virender Sehwag  pronunciation  (born 20 October 1978) is a former Indian cricketer, and a former captain, who played all forms of the game for fourteen years.
Kieron Pollard|Kieron Adrian Pollard (born 12 May 1987) is a Trinidadian cricketer who plays for the West Indies.
harbajan singh|Harbhajan Singh Vedi (1st September 1937-24 August 2013) was an Indian billionaire residing in Kuwait and is the main persons credited with the safe airlift evacuation of 170,000 Indians from Kuwait during the 1990 Invasion of Kuwait, which is hailed as the world's largest civilian evacuation in history.
Ajit Agarkar|Ajit Bhalchandra Agarkar  pronunciation  (born 4 December 1977) is a former Indian cricketer, who had represented India in more than 200 international matches in all three formats of the game.
Saina Nehwal|Saina Nehwal ( pronunciation  ; born 17 March 1990) is an Indian professional badminton singles player.
Smriti Mandhana|Smriti Mandhana (born 18 July 1996) is an Indian cricketer who plays for the Indian women's cricket team.
Freekickerz|This list of most subscribed users on YouTube contains the top 50 channels with the most subscribers on the video platform YouTube.
Houry Gebeshian Armenian Gymnast|Houry Gebeshian (born July 27, 1989) is an Armenian-American artistic gymnast, who has represented Armenia at the 2011 World Artistic Gymnastics Championships, the 2015 European Artistic Gymnastics Championships, and the 2016 Summer Olympics.
Romeo Fernandes|Romeo Fernandes (born 6 July 1992) is an Indian footballer who plays primarily as a winger for Delhi Dynamos FC in the Indian Super League.
Dutee Chand|Dutee Chand (born 3 February 1996) is an Indian professional sprinter and current national champion in the women's 100 metres event.
Deepika Kumari|Deepika Kumari (born 13 June 1994) is an Indian athlete who competes in the event of Archery, is currently ranked World No.
Gurpreet Singh Sandhu|Gurpreet Singh Sandhu (born 3 February 1992) is an Indian professional footballer who plays as a goalkeeper for Indian club Bengaluru FC. Sandhu was named captain of the India national team for the friendly match against Puerto Rico on 3 September, a match India won 4—1.
Shane McMahon|Shane Brandon McMahon (born January 15, 1970) is an American businessman and part-time professional wrestler who is a minority owner of WWE and the vice-chairman of Wecast Holdings Inc.
Dwayne Bravo|Dwayne Bravo (born 7 October 1983) is a Trinidadian cricketer and singer.
Natasha Palha|Natasha Palha (17 January 1994) is an Indian tennis player.
The F2 Freestylers|"William ""Billy"" Wingrove is an English freestyle footballer and a former semi-professional footballer."
Drew Bezanson|Moby-Dick; or, The Whale is a novel by American writer Herman Melville, published in 1851 during the period of the American Renaissance.
"Paul ""Triple H"" Levesque"|Paul Michael Levesque (born July 27, 1969), better known by the ring name Triple H (an abbreviation of his original WWE ring name Hunter Hearst Helmsley), is an American business executive and professional wrestler.
Elano Blumer|Elano Blumer (born 14 June 1981), simply known as Elano, is a Brazilian retired footballer who played as an attacking midfielder, and is the current assistant manager of Santos.
Rachel Atherton|Rachel Laura Atherton (born 6 December 1987, near Salisbury) is a professional racing cyclist specialising in downhill mountain bike racing, and is a multiple UCI World Champion.
Tracy Moseley|Tracy Marie Moseley (born 12 April 1979) is a British professional racing cyclist who was born in Worcester, specialising in downhill mountain bike racing.
Jolanda Neff|Jolanda Neff (born 5 January 1993) is a Swiss cross-country cyclist who also competes on the road for Servetto Footon.
Manon Carpenter|Manon Rose Carpenter (born 11 March 1993) is a professional racing cyclist formerly specialising in downhill mountain bike racing.
Vijay Boddupalli|This is a list of all cricketers who have played first-class, List A or Twenty20 cricket for Bengal cricket team.
Bryn Atkinson|Bryn Atkinson (born 9 December 1982, Canberra, Australian Capital Territory) is an Australian professional mountain bike racing cyclist from Townsville, QLD. Mother Janet, Father Graham, brother Rhys Atkinson.
Martyn Ashton|Martyn Ashton (born 2 December 1974) is a former British and World Champion mountain bike trials rider, stunt rider and team manager.
Kriss Kyle|Travail was a Christian nu metal / rapcore band based in the Dallas/Fort Worth area in Texas.
Brandon Semenuk|Brandon Semenuk is a Canadian freeride mountain biker from Whistler, British Columbia.
Sierra Blair-Coyle|This list of lesbian, gay, bisexual, and transgender (LGBT) firsts by year denotes pioneering LGBT endeavors organized chronologically.
Sam Reynolds|Sam Reynolds (born December 13, 1981 in Fortuna, California) is a former American professional soccer player, now a player liaison for PROficient Agency, representing professional soccer players, primarily in the United States and Europe.
Israil Gurung|Israil Gurung is an Indian footballer who plays as a winger for I-League side DSK Shivajians.
Loic Bruni|Loïc Bruni (born May 13, 1994 in Nice, France) is a professional downhill mountain biker.
Lisa Female Freestyle Ball|Rumer Glenn Willis (born August 16, 1988) is an American actress and singer.
Logan Binggeli|The Red Bull Rampage is an invitation-only freeride mountain bike competition held near Zion National Park in Virgin, Utah, United States, just to the north of Gooseberry Mesa.
Aaron Gwin|Aaron Holmes Gwin is an American professional downhill mountain biker from Morongo Valley, California.
Shweta Rana|Vin Rana (born Vinay Rana) is an Indian television actor and model.
Séan GARNIER S3 freestyle ball|Freestyle football, also known as freestyle soccer in North America, is the art of self-expression with a football, while performing various tricks with any part of the body.
P V Sindhu|Pusarla Venkata Sindhu (born 5 July 1995) is an Indian professional badminton player, who is currently world no 2 in the BWF World Ranking.
Jonty Rhodes|"Jonathan Neil ""Jonty"" Rhodes (born 27 July 1969) is a former South African Test and One Day International cricketer."
CS Santosh|CS Santosh (born 1 December 1983) is an Indian off-road racer.
Malli Mastan Babu|Mastan Babu Malli (3 September 1974 – 24 March 2015) was an Indian mountaineer.
Brendan Fairclough|The Collective is a group of mountain bikers, filmmakers and photographers that shoot films, ride bikes and take photographs.
Christoph Strasser|Christoph Strasser (born November 4, 1982 in Leoben, Austria) is an Austrian ultra cyclist who is a four-time winner and record holder for the fastest time in the Race Across America.
Geeta Phogat|Geeta Phogat (born 15 December 1988) is a freestyle wrestler who won India's first ever gold medal in wrestling at the Commonwealth Games in 2010.
Heena Sidhu|Heena Sidhu  pronunciation  is an Indian sport shooter.
Aditi Chauhan|Aditi Chauhan (born 20 November 1992) is an Indian women's professional footballer who plays as a goalkeeper for West Ham United Ladies and the India women's national football team.
Sanam Singh|Sanam Krishan Singh (born 11 January 1988), is an Indian tennis player.
Tintu Luka|Tintu Luka (born 26 April 1989) is an Indian track and field athlete, who predominantly competes in the middle-distance running events.
MC Mary Kom|Chungneijang Mery Kom Hmangte (born 24 November 1982), better known as Mary Kom, is an Olympic Indian boxer hailing from the Kom tribe in Manipur.
Bajrang Punia|Bajrang Punia (born 26 February 1994) is a freestyle wrestler from India.
Rishika sunkara|Rishika Sunkara (born 14 May 1993) is an Indian tennis player.
Ankita Raina|Ankita Raina (born 11 January 1993) is an Indian tennis player, and the current Indian No.
Prarthana Thombare|Prarthana G. Thombare (born 18 June 1994) is an Indian tennis player.
Joshana Chinappa|Joshna Chinappa (born 15 September 1986) (Kodagu) is a squash player based in India.
Joshna Chinappa|Joshna Chinappa (born 15 September 1986) (Kodagu) is a squash player based in India.
Subrata Pal|Subrata Pal (born 24 November 1986) is an Indian professional footballer who currently plays for Jamshedpur FC in the Indian Super League.
Brandon Fernandes|Brandon Fernandes (born 20 September 1994) is an Indian professional footballer who plays as an attacking midfielder for Goa in the Indian Super League.
Neville J. Bilimoria|Parsi  (or Parsee) is one of two Zoroastrian communities (the other being Iranis) majorly located in India and few in Pakistan.
Alisha Abdullah|Alisha Abdullah (born July 24, 1989) is an Indian racing driver.
Yogeshwar Dutt|Yogeshwar Dutt (born 2 November 1982) is an Indian freestyle wrestler.
Sharmila Nicollet|Sharmila Nicollet (born 12 March 1991) is an Indo French professional golfer from Bangalore, India.
Dipika Pallikal|Dipika Pallikal Karthik (née Pallikal; born 21 September 1991) is an Indian squash player.
Virat Kohli|Virat Kohli ( pronunciation ; born 5 November 1988) is an Indian international cricketer who currently captains the India national team.
Vijender Singh|Vijender Singh Beniwal (born 29 October 1985), better known as Vijender Singh is an Indian professional boxer and the current WBO Asia Pacific Super Middleweight Champion and WBO Oriental Super Middleweight Champion from Kaluwas, Bhiwani district in Haryana.
Vijender Singh|Vijender Singh Beniwal (born 29 October 1985), better known as Vijender Singh is an Indian professional boxer and the current WBO Asia Pacific Super Middleweight Champion and WBO Oriental Super Middleweight Champion from Kaluwas, Bhiwani district in Haryana.
Gutta Jwala|Jwala Gutta (born 7 September 1983) is a left-handed Indian badminton player.
Parupalli Kashyap|Parupalli Kashyap (born 8 September 1986) is a badminton player from India.
Dwayne Smith|Dwayne Romel Smith (born 12 April 1983) is a former Barbadian international cricketer who has represented the West Indies.
John Cena|John Felix Anthony Cena (; born April 23, 1977) is an American professional wrestler, rapper, actor, and reality television show host.
Undertaker|A funeral director, also known as an undertaker (British English) or mortician (American English), is a professional involved in the business of funeral rites.
Undertaker|A funeral director, also known as an undertaker (British English) or mortician (American English), is a professional involved in the business of funeral rites.
"""The Great WALL of India ""rahul Dravid"""""|Rahul Dravid ( pronunciation ; born 11 January 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen in the history of cricket.
