Manchester United|Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football.
Fitness Team India|24 Hour Fitness is the world's largest (by memberships) privately owned and operated fitness center chain, and third in number of clubs behind Gold's Gym and Fitness First of the UK. It currently has 400+ clubs, 18,000 employees in the United States, and an undisclosed number of employees working in a customer services call-center in the Philippines and another call center in Spokane, Washington.
Fitness Authority|A health club (also known as a fitness club, fitness centre, health spa, and commonly referred to as a gym) is a place that houses exercise equipment for the purpose of physical exercise.
ICC - International Cricket Council|The International Cricket Council (ICC) is the international governing body of cricket.
Seattle Mariners|The Seattle Mariners are an American professional baseball team based in Seattle, Washington.
Indian Cricket Team|The India national cricket team, also known as Team India and Men in Blue, represents India in international cricket.
