Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
David Beckham|David Robert Joseph Beckham,  (; born 2 May 1975) is an English former professional footballer.
Usain Bolt|Usain St Leo Bolt OJ, CD (; born 21 August 1986) is a retired Jamaican sprinter.
Devendro Singh|Devendro Singh Laishram (born 2 March 1992), also known as Devendro Singh or Devendro Laishram, is an Indian boxer from Imphal West district, Manipur who competes in the light-flyweight division.
Parupalli Kashyap|Parupalli Kashyap (born 8 September 1986) is a badminton player from India.
Ravichandran Ashwin|Ravichandran Ashwin ( pronunciation ; born 17 September 1986) is an Indian international cricketer.
Abhinav Mukund|Abhinav Mukund ( pronunciation ; born 6 January 1990) is an Indian cricketer who plays for India A and Tamil Nadu.
Ravichandran Ashwin|Ravichandran Ashwin ( pronunciation ; born 17 September 1986) is an Indian international cricketer.
