Cricket South Africa|Cricket South Africa (CSA) is the governing body for professional and amateur cricket in South Africa.
Australian Cricket Team|The Australia national cricket team, represents the country of Australia in international cricket.
Manchester United|Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football.
Mumbai Indians|Mumbai Indians (abbreviated as MI) is a franchise cricket team representing the city of Mumbai, Maharashtra, in the Indian Premier League (IPL).
Indian Cricket Team|The India national cricket team, also known as Team India and Men in Blue, represents India in international cricket.
