Richie Stanaway|Richie Stanaway (born 24 November, 1991) is a racing car driver from New Zealand currently racing for Aston Martin Racing as a factory driver in the FIA World Endurance Championship.
Bhuvneshwar Kumar|Bhuvneshwar Kumar (born 5 February 1990) is an Indian international cricketer.
Chris Gayle|Christopher Henry Gayle, OD (born 21 September 1979) is a Jamaican cricketer and a former captain, who plays international cricket for the West Indies.
Glenn  Maxwell|Glenn James Maxwell (born 14 October 1988) is an Australian cricketer who plays Tests, One Day International and Twenty 20 International matches for Australia.
Virat Kohli - The Run Machine|Virat Kohli ( pronunciation ; born 5 November 1988) is an Indian international cricketer who currently captains the India national team.
Virat Kohli|Virat Kohli ( pronunciation ; born 5 November 1988) is an Indian international cricketer who currently captains the India national team.
AB de Villiers|AB de Villiers (born 17 February, 1984) is a South African cricketer, who plays all formats and also a former captain in all formats.
Andy Murray|Sir Andrew Barron Murray,  (born 15 May 1987) is a British professional tennis player from Scotland currently ranked world no.
Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Kevin Pietersen|Kevin Peter Pietersen MBE (born 27 June 1980) is a former England international cricketer.
Usain Bolt|Usain St Leo Bolt OJ, CD (; born 21 August 1986) is a retired Jamaican sprinter.
Circle of Cricket India|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Saina Nehwal|Saina Nehwal ( pronunciation  ; born 17 March 1990) is an Indian professional badminton singles player.
Yuvraj Singh|Yuvraj Singh ( pronunciation ) (born 12 December 1981) is an Indian international cricketer, who plays all forms of the game.
Virender Sehwag|Virender Sehwag  pronunciation  (born 20 October 1978) is a former Indian cricketer, and a former captain, who played all forms of the game for fourteen years.
