Gym Memes|The alt-right, or alternative right, is a loosely defined group of people with far-right ideologies who reject mainstream conservatism in favor of white nationalism.
Jordan Henderson|Jordan Brian Henderson (born 17 June 1990) is an English professional footballer who captains Premier League club Liverpool and plays for the England national team.
Nike Football|Nike, Inc.
MC Mary Kom|Chungneijang Mery Kom Hmangte (born 24 November 1982), better known as Mary Kom, is an Olympic Indian boxer hailing from the Kom tribe in Manipur.
Raheem Sterling|Raheem Shaquille Sterling (born 8 December 1994) is a professional footballer who plays as a midfielder for Premier League club Manchester City and the England national team.
André Schürrle|André Horst Schürrle (born 6 November 1990) is a German professional footballer who plays as a forward for Borussia Dortmund and the Germany national team.
Virat Kohli|Virat Kohli ( pronunciation ; born 5 November 1988) is an Indian international cricketer who currently captains the India national team.
Lewis Hamilton|Lewis Carl Davidson Hamilton MBE (born 7 January 1985) is a British racing driver who races in Formula One for the Mercedes AMG Petronas team.
Chris Gayle|Christopher Henry Gayle, OD (born 21 September 1979) is a Jamaican cricketer and a former captain, who plays international cricket for the West Indies.
Nike Football|Nike, Inc.
Nike Football|Nike, Inc.
Steven George Gerrard|Steven George Gerrard  (born 30 May 1980) is an English professional football coach and former professional footballer who serves as an academy coach at Liverpool.
Michael Carrick|Michael Carrick (born 28 July 1981) is an English professional footballer who plays for Manchester United, whom he also captains, and the England national team.
Gareth Bale|Gareth Frank Bale (born 16 July 1989) is a Welsh professional footballer who plays as a winger for Spanish club Real Madrid and the Wales national team.
Alex Oxlade-Chamberlain|Alexander Mark David Oxlade-Chamberlain  (born 15 August 1993) is an English professional footballer who plays as a midfielder for Premier League club Liverpool and the England national team.
Daniel Sturridge|Daniel Andre Sturridge (; born 1 September 1989) is an English professional footballer who plays for Premier League club Liverpool and the England national team.
Gervinho|Gervais Lombe Yao Kouassi (born 27 May 1987 in Anyama), better known as Gervinho, is an Ivorian footballer who plays as a forward for Hebei China Fortune and the Ivory Coast national team.
Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Kevin Durant|Kevin Wayne Durant (born September 29, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA).
LeBron James|LeBron Raymone James (; born December 30, 1984) is an American professional basketball player for the Cleveland Cavaliers of the National Basketball Association (NBA).
Rio Ferdinand|Rio Gavin Ferdinand (born 7 November 1978) is an English former professional footballer who played as a centre-back, and current television pundit for BT Sport.
Saina Nehwal|Saina Nehwal ( pronunciation  ; born 17 March 1990) is an Indian professional badminton singles player.
Shawn Michaels|Michael Shawn Hickenbottom (born July 22, 1965), better known by his ring name Shawn Michaels, is an American actor, professional wrestling personality, television presenter and retired professional wrestler.
David Luiz|David Luiz Moreira Marinho (born 22 April 1987), known as David Luiz, is a Brazilian professional footballer who plays for English club Chelsea and the Brazil national team.
Kevin Pietersen|Kevin Peter Pietersen MBE (born 27 June 1980) is a former England international cricketer.
Yohan Blake|Yohan Blake (born 26 December 1989), is a Jamaican sprinter of the 100-metre and 200-metre sprint races.
David Beckham|David Robert Joseph Beckham,  (; born 2 May 1975) is an English former professional footballer.
25,000 people who want to see gerrard win the league|The 2005 Football League Cup Final was a football match played between Liverpool and Chelsea on 27 February 2005 at the Millennium Stadium, Cardiff.
Zinedine Zizou Zidane|"Zinedine Yazid Zidane O.L.H., A.O.M.N. (French pronunciation: [zinedin zidan], born 23 June 1972), nicknamed ""Zizou"", is a retired French footballer and current manager of Real Madrid."
Kenny Dalglish|Kenneth Mathieson Dalglish, MBE (born 4 March 1951) is a Scottish former footballer and manager.
Wayne Rooney|Wayne Mark Rooney (; born 24 October 1985) is an English professional footballer who plays for Premier League club Everton.
Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Baichung Bhutia|Bhaichung Bhutia (born 15 December 1976) is a retired Indian footballer of Sikkimese-Bhutia descent who played as a striker.
