Hardik Pandya|Hardik Himanshu Pandya (born 11 October 1993) is an Indian international cricketer who plays for Baroda in domestic cricket and Mumbai Indians in the Indian Premier League (IPL).
Wayne Rooney|Wayne Mark Rooney (; born 24 October 1985) is an English professional footballer who plays for Premier League club Everton.
Michael Phelps|Michael Fred Phelps II (born June 30, 1985) is an American former competitive swimmer and the most decorated Olympian of all time, with a total of 28 medals.
Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Undertaker|A funeral director, also known as an undertaker (British English) or mortician (American English), is a professional involved in the business of funeral rites.
Brie Bella|Brianna Monique Danielson (née Garcia-Colace; born November 21, 1983) is an American retired professional wrestler, actress and model.
Randy Orton|Randal Keith Orton (born April 1, 1980) is an American professional wrestler and actor.
John Cena|John Felix Anthony Cena (; born April 23, 1977) is an American professional wrestler, rapper, actor, and reality television show host.
A.J. Lee|April Jeanette Mendez Brooks (née Mendez; born March 19, 1987) is an American author and retired professional wrestler.
Shikhar Dhawan|Shikhar Dhawan (born 5 December 1985) is an Indian international cricketer.
Saina Nehwal|Saina Nehwal ( pronunciation  ; born 17 March 1990) is an Indian professional badminton singles player.
Virat Kohli|Virat Kohli ( pronunciation ; born 5 November 1988) is an Indian international cricketer who currently captains the India national team.
Big Show|Paul Donald Wight II (born February 8, 1972), better known by the ring name Big Show, is an American professional wrestler and actor currently signed to WWE on the Raw brand.
The Great Khali|"Dalip Singh Rana (born 27 August 1972), better known by the ring name The Great Khali, is an Indian-born American semi-retired professional wrestler, promoter and actor best known for his time in WWE.
Known for his great height, The Great Khali was described as the eighth tallest professional wrestler in history in 2014 and the fourth tallest wrestler in WWE history in 2017."
Brett Lee|Brett Lee (born 8 November 1976) is a former Australian international cricketer, who played all three formats of the game.
Bhuvneshwar Kumar|Bhuvneshwar Kumar (born 5 February 1990) is an Indian international cricketer.
Rohit Sharma|Rohit Gurunath Sharma (born 30 April 1987) is an Indian cricketer.
Chris Gayle|Christopher Henry Gayle, OD (born 21 September 1979) is a Jamaican cricketer and a former captain, who plays international cricket for the West Indies.
Usain Bolt|Usain St Leo Bolt OJ, CD (; born 21 August 1986) is a retired Jamaican sprinter.
Daniel Bryan|Bryan Lloyd Danielson (born May 22, 1981), better known under the ring name Daniel Bryan, is an American inactive professional wrestler currently signed to WWE as the on-screen general manager of SmackDown.
